go_id	gene_id
GO:0000166	Os04g0496150
GO:0000166	Os04g0496400
GO:0000166	Os04g0497000
GO:0000166	Os04g0497600
GO:0000166	Os04g0498800
GO:0000166	Os04g0501000
GO:0000166	Os04g0504800
GO:0000166	Os04g0510500
GO:0000166	Os04g0528300
GO:0000166	Os04g0531700
GO:0000166	Os04g0531750
GO:0000166	Os04g0531900
GO:0000166	Os04g0532100
GO:0000166	Os04g0532400
GO:0000166	Os04g0543200
GO:0000166	Os04g0543900
GO:0000166	Os04g0551200
GO:0000166	Os04g0556000
GO:0000166	Os04g0581600
GO:0000166	Os04g0583800
GO:0000166	Os04g0588700
GO:0000166	Os04g0591000
GO:0000166	Os04g0594400
GO:0000166	Os04g0602700
GO:0000166	Os04g0605500
GO:0000166	Os04g0611500
GO:0000166	Os04g0612700
GO:0000166	Os04g0614000
GO:0000166	Os04g0617600
GO:0000166	Os04g0618200
GO:0000166	Os04g0620700
GO:0000166	Os04g0623300
GO:0000166	Os04g0624800
GO:0000166	Os04g0627200
GO:0000166	Os04g0630100
GO:0000166	Os04g0630300
GO:0000166	Os04g0630400
GO:0000166	Os04g0630600
GO:0000166	Os04g0630800
GO:0000166	Os04g0630900
GO:0000166	Os04g0631000
GO:0000166	Os04g0636900
GO:0000166	Os04g0641400
GO:0000166	Os04g0642000
GO:0000166	Os04g0648500
GO:0000166	Os04g0650800
GO:0000166	Os04g0656100
GO:0000166	Os04g0658400
GO:0000166	Os04g0671200
GO:0000166	Os04g0671300
GO:0000166	Os04g0678700
GO:0000166	Os04g0680550
GO:0000166	Os04g0682400
GO:0000166	Os04g0682800
GO:0000166	Os04g0684500
GO:0000166	Os04g0689700
GO:0000166	Os05g0100600
GO:0000166	Os05g0102800
GO:0000166	Os05g0105900
GO:0000166	Os05g0107600
GO:0000166	Os05g0110300
GO:0000166	Os05g0114500
GO:0000166	Os05g0120000
GO:0000166	Os05g0120100
GO:0000166	Os05g0120200
GO:0000166	Os05g0121700
GO:0000166	Os05g0137200
GO:0000166	Os05g0140500
GO:0000166	Os05g0140800
GO:0000166	Os05g0150800
GO:0000166	Os05g0150900
GO:0000166	Os05g0154800
GO:0000166	Os05g0155000
GO:0000166	Os05g0162600
GO:0000166	Os05g0163000
GO:0000166	Os05g0182800
GO:0000166	Os05g0196100
GO:0000166	Os05g0203400
GO:0000166	Os05g0222200
GO:0000166	Os05g0223200
GO:0000166	Os05g0223300
GO:0000166	Os05g0241100
GO:0000166	Os05g0272300
GO:0000166	Os05g0291700
GO:0000166	Os05g0303700
GO:0000166	Os05g0313500
GO:0000166	Os05g0319800
GO:0000166	Os05g0362100
GO:0000166	Os05g0364600
GO:0000166	Os05g0373400
GO:0000166	Os05g0376000
GO:0000166	Os05g0376200
GO:0000166	Os05g0384600
GO:0000166	Os05g0402800
GO:0000166	Os05g0427300
GO:0000166	Os05g0437300
GO:0000166	Os05g0458400
GO:0000166	Os05g0476200
GO:0000166	Os05g0495600
GO:0000166	Os05g0495700
GO:0000166	Os05g0509500
GO:0000166	Os05g0519400
GO:0000166	Os05g0519700
GO:0000166	Os05g0528600
GO:0000166	Os05g0533900
GO:0000166	Os05g0548300
GO:0000166	Os05g0548500
GO:0000166	Os05g0553000
GO:0000166	Os05g0558900
GO:0000166	Os05g0564200
GO:0000166	Os05g0565500
GO:0000166	Os05g0573700
GO:0000166	Os05g0574400
GO:0000166	Os05g0578500
GO:0000166	Os05g0584600
GO:0000166	Os05g0588900
GO:0000166	Os06g0103600
GO:0000166	Os06g0104900
GO:0000166	Os06g0109400
GO:0000166	Os06g0111500
GO:0000166	Os06g0112400
GO:0000166	Os06g0127500
GO:0000166	Os06g0128300
GO:0000166	Os06g0129100
GO:0000166	Os06g0130000
GO:0000166	Os06g0137700
GO:0000166	Os06g0151200
GO:0000166	Os06g0151600
GO:0000166	Os06g0155600
GO:0000166	Os06g0158900
GO:0000166	Os06g0170500
GO:0000166	Os06g0173100
GO:0000166	Os06g0181500
GO:0000166	Os06g0184700
GO:0000166	Os06g0184766
GO:0000166	Os06g0185100
GO:0000166	Os06g0186900
