go_id	gene_id
GO:0000775	Os11g0545700
GO:0000776	Os03g0448600
GO:0000776	Os07g0508500
GO:0000776	Os07g0588500
GO:0000777	Os04g0486500
GO:0000781	Os01g0589300
GO:0000781	Os01g0708000
GO:0000781	Os02g0817800
GO:0000781	Os12g0293100
GO:0000784	Os07g0681600
GO:0000784	Os10g0487300
GO:0000785	Os01g0547200
GO:0000785	Os01g0883400
GO:0000785	Os01g0965500
GO:0000785	Os02g0109400
GO:0000785	Os02g0109501
GO:0000785	Os03g0430100
GO:0000785	Os03g0430400
GO:0000785	Os03g0710100
GO:0000785	Os04g0425100
GO:0000785	Os05g0597200
GO:0000785	Os08g0428800
GO:0000785	Os09g0402100
GO:0000785	Os12g0527800
GO:0000786	Os01g0149400
GO:0000786	Os01g0149600
GO:0000786	Os01g0152300
GO:0000786	Os01g0152700
GO:0000786	Os01g0152900
GO:0000786	Os01g0153100
GO:0000786	Os01g0153300
GO:0000786	Os01g0346900
GO:0000786	Os01g0502700
GO:0000786	Os01g0502900
GO:0000786	Os01g0589300
GO:0000786	Os01g0708000
GO:0000786	Os01g0835900
GO:0000786	Os01g0839500
GO:0000786	Os02g0457100
GO:0000786	Os02g0457300
GO:0000786	Os02g0684500
GO:0000786	Os03g0119900
GO:0000786	Os03g0144700
GO:0000786	Os03g0162200
GO:0000786	Os03g0279000
GO:0000786	Os03g0279200
GO:0000786	Os03g0390600
GO:0000786	Os03g0711600
GO:0000786	Os03g0721900
GO:0000786	Os03g0743400
GO:0000786	Os03g0799000
GO:0000786	Os04g0212700
GO:0000786	Os04g0253000
GO:0000786	Os04g0419600
GO:0000786	Os04g0450800
GO:0000786	Os04g0583600
GO:0000786	Os05g0113900
GO:0000786	Os05g0460475
GO:0000786	Os05g0462700
GO:0000786	Os05g0462900
GO:0000786	Os05g0466600
GO:0000786	Os05g0489800
GO:0000786	Os05g0574300
GO:0000786	Os05g0597200
GO:0000786	Os06g0130800
GO:0000786	Os06g0130900
GO:0000786	Os06g0159450
GO:0000786	Os06g0159725
GO:0000786	Os06g0159900
GO:0000786	Os06g0160001
GO:0000786	Os06g0160100
GO:0000786	Os06g0250300
GO:0000786	Os07g0184800
GO:0000786	Os07g0545300
GO:0000786	Os07g0545400
GO:0000786	Os07g0549900
GO:0000786	Os08g0427700
GO:0000786	Os08g0428800
GO:0000786	Os08g0490800
GO:0000786	Os08g0490900
GO:0000786	Os09g0402100
GO:0000786	Os09g0433600
GO:0000786	Os09g0553100
GO:0000786	Os09g0570850
GO:0000786	Os10g0418000
GO:0000786	Os10g0539500
GO:0000786	Os11g0155900
GO:0000786	Os12g0415800
GO:0000786	Os12g0530000
GO:0000786	Os12g0613300
GO:0000788	Os01g0152900
GO:0000790	Os02g0776800
GO:0000790	Os03g0242100
GO:0000790	Os07g0626600
GO:0000791	Os10g0324900
GO:0000794	Os01g0948100
GO:0000794	Os07g0486000
GO:0000795	Os01g0958900
GO:0000795	Os04g0452500
GO:0000795	Os05g0251400
GO:0000795	Os05g0498300
GO:0000796	Os01g0904400
GO:0000798	Os05g0580500
GO:0000808	Os01g0683400
GO:0000808	Os03g0184700
GO:0000808	Os03g0759500
GO:0000812	Os01g0837500
GO:0000812	Os03g0367800
GO:0000813	Os06g0724100
GO:0000814	Os01g0813500
GO:0000814	Os09g0529700
GO:0000922	Os02g0523300
GO:0000922	Os04g0501700
GO:0000922	Os04g0566800
GO:0000922	Os04g0566900
GO:0000922	Os05g0154500
GO:0000922	Os09g0446200
GO:0000922	Os12g0606100
GO:0000932	Os02g0641800
GO:0000932	Os02g0722800
GO:0000932	Os03g0166800
GO:0000932	Os03g0794800
GO:0000932	Os04g0445800
GO:0000932	Os04g0533000
GO:0000932	Os06g0300800
GO:0000932	Os06g0693700
GO:0000932	Os10g0412100
GO:0000932	Os10g0503700
GO:0001673	Os12g0601000
GO:0002144	Os02g0762300
GO:0005575	Os04g0434300
GO:0005575	Os11g0592800
GO:0005576	Os01g0123900
GO:0005576	Os01g0124000
GO:0005576	Os01g0124100
GO:0005576	Os01g0124200
GO:0005576	Os01g0124400
GO:0005576	Os01g0124401
GO:0005576	Os01g0124600
GO:0005576	Os01g0124650
GO:0005576	Os01g0127600
GO:0005576	Os01g0131900
GO:0005576	Os01g0132000
GO:0005576	Os01g0219600
GO:0005576	Os01g0248900
GO:0005576	Os01g0249100
GO:0005576	Os01g0249200
GO:0005576	Os01g0270100
GO:0005576	Os01g0274500
GO:0005576	Os01g0296200
GO:0005576	Os01g0312800
GO:0005576	Os01g0326300
GO:0005576	Os01g0329300
GO:0005576	Os01g0339900
GO:0005576	Os01g0382000
GO:0005576	Os01g0382400
GO:0005576	Os01g0517500
GO:0005576	Os01g0618900
GO:0005576	Os01g0623600
GO:0005576	Os01g0636500
GO:0005576	Os01g0803200
GO:0005576	Os01g0823100
GO:0005576	Os01g0839900
GO:0005576	Os01g0891100
GO:0005576	Os01g0915200
GO:0005576	Os02g0101400
GO:0005576	Os02g0123700
GO:0005576	Os02g0130200
GO:0005576	Os02g0151300
GO:0005576	Os02g0196700
GO:0005576	Os02g0256100
GO:0005576	Os02g0267200
GO:0005576	Os02g0267700
GO:0005576	Os02g0267900
GO:0005576	Os02g0268050
GO:0005576	Os02g0268400
GO:0005576	Os02g0268600
GO:0005576	Os02g0324400
GO:0005576	Os02g0472566
GO:0005576	Os02g0639500
GO:0005576	Os02g0658600
GO:0005576	Os02g0658800
GO:0005576	Os02g0733300
GO:0005576	Os02g0738600
GO:0005576	Os02g0744200
GO:0005576	Os02g0778600
GO:0005576	Os02g0781000
GO:0005576	Os02g0786400
GO:0005576	Os02g0786500
GO:0005576	Os02g0786900
GO:0005576	Os02g0787000
GO:0005576	Os02g0831700
GO:0005576	Os03g0102500
GO:0005576	Os03g0102700
GO:0005576	Os03g0106500
GO:0005576	Os03g0106700
GO:0005576	Os03g0106800
GO:0005576	Os03g0106900
GO:0005576	Os03g0124900
GO:0005576	Os03g0132200
GO:0005576	Os03g0155300
GO:0005576	Os03g0155500
GO:0005576	Os03g0155700
GO:0005576	Os03g0155900
GO:0005576	Os03g0156000
GO:0005576	Os03g0156300
GO:0005576	Os03g0193400
GO:0005576	Os03g0210200
GO:0005576	Os03g0216800
GO:0005576	Os03g0232400
GO:0005576	Os03g0243600
GO:0005576	Os03g0261100
GO:0005576	Os03g0296600
GO:0005576	Os03g0336400
GO:0005576	Os03g0377100
GO:0005576	Os03g0428700
GO:0005576	Os03g0434800
GO:0005576	Os03g0645000
GO:0005576	Os03g0675600
GO:0005576	Os03g0703000
GO:0005576	Os03g0708000
GO:0005576	Os03g0749100
GO:0005576	Os03g0808000
GO:0005576	Os03g0822000
GO:0005576	Os03g0823400
GO:0005576	Os03g0833800
GO:0005576	Os03g0859100
GO:0005576	Os04g0228400
GO:0005576	Os04g0317400
GO:0005576	Os04g0317500
GO:0005576	Os04g0317800
GO:0005576	Os04g0328900
GO:0005576	Os04g0329200
GO:0005576	Os04g0329300
GO:0005576	Os04g0443300
GO:0005576	Os04g0525700
GO:0005576	Os04g0530100
GO:0005576	Os04g0552000
GO:0005576	Os04g0552200
GO:0005576	Os04g0583500
GO:0005576	Os04g0674800
GO:0005576	Os05g0129200
GO:0005576	Os05g0156300
GO:0005576	Os05g0212300
GO:0005576	Os05g0246300
GO:0005576	Os05g0276500
GO:0005576	Os05g0277000
GO:0005576	Os05g0279900
GO:0005576	Os05g0387700
GO:0005576	Os05g0477600
GO:0005576	Os05g0499300
GO:0005576	Os05g0538500
GO:0005576	Os05g0552500
GO:0005576	Os05g0578600
GO:0005576	Os05g0587000
GO:0005576	Os05g0595200
GO:0005576	Os06g0108600
GO:0005576	Os06g0186400
GO:0005576	Os06g0247900
GO:0005576	Os06g0256900
GO:0005576	Os06g0351500
GO:0005576	Os06g0545400
GO:0005576	Os06g0545800
GO:0005576	Os06g0567200
GO:0005576	Os06g0567900
GO:0005576	Os06g0611400
GO:0005576	Os06g0611500
GO:0005576	Os06g0621900
GO:0005576	Os06g0633300
GO:0005576	Os06g0655200
GO:0005576	Os06g0662225
GO:0005576	Os06g0662300
GO:0005576	Os06g0662500
GO:0005576	Os06g0662600
GO:0005576	Os06g0662700
GO:0005576	Os06g0662850
GO:0005576	Os06g0662900
GO:0005576	Os06g0663300
GO:0005576	Os06g0718100
GO:0005576	Os07g0124100
GO:0005576	Os07g0124900
GO:0005576	Os07g0125000
